NAICS Code,Kind of business,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"349,285","331,611","318,352","301,797","281,533","269,480","260,566","261,637","301,833","320,854","334,130","320,802","295,274","263,463","248,539","239,379","228,994","218,290","202,423","191,063","176,683","164,561","157,228","140,964","130,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"304,622","287,582","274,116","259,545","242,176","232,649","225,712","227,474","263,082","283,847","299,382","286,604","261,200","230,971","217,184","207,020","197,649","187,916","172,201","162,068","150,453","141,028","135,099","120,426","110,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44412,Paint and wallpaper stores ………………………………………...…………………………………………………………………………………………………,"11,449","10,711","10,300","9,451","9,134","8,423","7,972","7,956","9,415","10,166","10,332","9,842","8,880","8,478","8,096","8,589","8,863","8,713","8,513","7,691","7,038","6,455","5,751","5,153","4,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44413,Hardware stores ………………………………………...…………………………………………………………………………………………………,"23,616","23,087","22,597","21,030","20,747","20,041","18,706","18,667","20,072","20,509","19,983","18,881","18,300","17,674","16,962","16,539","16,179","15,586","14,965","13,952","13,907","13,718","13,778","13,000","12,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Food and beverage stores ………………………………………...…………………………………………………………………………………………………,"700,816","685,381","669,165","640,847","628,205","609,137","580,530","568,418","569,276","547,837","525,232","508,484","490,380","474,385","464,856","462,429","444,764","433,699","416,525","409,373","401,073","390,386","384,340","374,516","370,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,Grocery stores ………………………………………...…………………………………………………………………………………………………,"625,295","613,159","599,603","574,547","563,645","547,476","520,750","510,033","511,222","491,360","471,699","457,667","441,136","427,987","419,813","418,127","402,515","394,250","378,188","372,570","365,547","356,409","350,523","341,318","337,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44511,Supermarkets and other grocery (except convenience) stores …………………………………………………………,"598,240","587,804","573,790","549,062","539,180","523,371","498,006","489,028","488,540","468,364","448,692","435,523","418,805","406,274","397,272","396,538","381,441","375,401","359,920","354,112","346,947","337,784","331,708","322,511","318,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,Specialty food stores ……………………………………………………………………………………………………………………..…………,"22,266","21,672","21,276","20,224","20,195","19,269","18,379","18,140","18,550","18,349","17,517","17,250","17,055","15,929","15,149","14,681","13,742","12,973","12,955","12,722","12,369","11,970","11,716","11,660","11,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,"Beer, wine, and liquor stores ………………………………………...…………………………………………………………………………………………………","53,255","50,550","48,286","46,076","44,365","42,392","41,401","40,245","39,504","38,128","36,016","33,567","32,189","30,469","29,894","29,621","28,507","26,476","25,382","24,081","23,157","22,007","22,101","21,538","21,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Health and personal care stores ………………………………………...…………………………………………………………………………………………………,"326,879","315,244","299,263","281,840","274,000","271,612","260,435","252,794","246,573","237,164","223,336","210,085","199,290","192,426","179,983","166,533","155,234","142,699","129,583","118,672","109,557","101,635","96,363","92,594","89,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
